S? th? t?,???ng d?n,Tên ?nh,Nhãn Bàn Tay,Nhãn Ngón Tay Cái,Cluster
No. 2501,train1,4157.png,L,P,2
No. 2502,train1,4159.png,L,P,2
No. 2503,train1,4160.png,L,P,2
No. 2504,train1,4161.png,L,P,2
No. 2505,train1,4162.png,L,P,2
No. 2506,train1,4163.png,L,P,2
No. 2507,train1,4164.png,L,P,2
No. 2508,train1,4165.png,L,P,2
No. 2509,train1,4166.png,L,P,2
No. 2510,train1,4167.png,L,P,2
No. 2511,train1,4168.png,L,P,2
No. 2512,train1,4170.png,L,P,2
No. 2513,train1,4172.png,L,P,2
No. 2514,train1,4173.png,L,P,2
No. 2515,train1,4174.png,L,P,2
No. 2516,train1,4175.png,L,P,2
No. 2517,train1,4176.png,L,P,2
No. 2518,train1,4177.png,L,P,2
No. 2519,train1,4179.png,L,P,2
No. 2520,train1,4180.png,L,P,2
No. 2521,train1,4181.png,L,P,2
No. 2522,train1,4182.png,L,P,2
No. 2523,train1,4183.png,L,P,2
No. 2524,train1,4184.png,L,P,2
No. 2525,train1,4185.png,L,P,2
No. 2526,train1,4186.png,L,P,2
No. 2527,train1,4187.png,L,P,2
No. 2528,train1,4188.png,L,P,2
No. 2529,train1,4189.png,L,P,2
No. 2530,train1,4190.png,L,P,2
No. 2531,train1,4191.png,L,P,2
No. 2532,train1,4192.png,L,P,2
No. 2533,train1,4193.png,L,P,2
No. 2534,train1,4194.png,L,P,2
No. 2535,train1,4195.png,L,P,2
No. 2536,train1,4196.png,L,P,2
No. 2537,train1,4197.png,L,P,2
No. 2538,train1,4198.png,L,P,2
No. 2539,train1,4199.png,L,P,2
No. 2540,train1,4200.png,L,P,2
No. 2541,train1,4201.png,L,P,2
No. 2542,train1,4202.png,L,P,2
No. 2543,train1,4203.png,L,P,2
No. 2544,train1,4204.png,L,P,2
No. 2545,train1,4205.png,L,P,2
No. 2546,train1,4206.png,L,P,2
No. 2547,train1,4207.png,L,P,2
No. 2548,train1,4208.png,L,P,2
No. 2549,train1,4209.png,L,P,2
No. 2550,train1,4210.png,L,P,2
No. 2551,train1,4211.png,L,P,2
No. 2552,train1,4212.png,L,P,2
No. 2553,train1,4213.png,L,P,2
No. 2554,train1,4214.png,L,P,2
No. 2555,train1,4215.png,L,P,2
No. 2556,train1,4216.png,L,P,2
No. 2557,train1,4217.png,L,P,2
No. 2558,train1,4218.png,L,P,2
No. 2559,train1,4219.png,L,P,2
No. 2560,train1,4220.png,L,P,2
No. 2561,train1,4221.png,L,P,2
No. 2562,train1,4222.png,L,P,2
No. 2563,train1,4223.png,L,P,2
No. 2564,train1,4224.png,L,P,2
No. 2565,train1,4225.png,L,P,2
No. 2566,train1,4227.png,L,P,2
No. 2567,train1,4228.png,L,P,2
No. 2568,train1,4229.png,L,P,2
No. 2569,train1,4230.png,L,P,2
No. 2570,train1,4231.png,L,P,2
No. 2571,train1,4232.png,L,P,2
No. 2572,train1,4233.png,L,P,2
No. 2573,train1,4234.png,L,P,2
No. 2574,train1,4235.png,L,P,2
No. 2575,train1,4236.png,L,P,2
No. 2576,train1,4237.png,L,P,2
No. 2577,train1,4238.png,L,P,2
No. 2578,train1,4239.png,L,P,2
No. 2579,train1,4240.png,L,P,2
No. 2580,train1,4241.png,L,P,2
No. 2581,train1,4243.png,L,P,2
No. 2582,train1,4244.png,L,P,2
No. 2583,train1,4245.png,L,P,2
No. 2584,train1,4246.png,L,P,2
No. 2585,train1,4247.png,L,P,2
No. 2586,train1,4248.png,L,P,2
No. 2587,train1,4249.png,L,P,2
No. 2588,train1,4250.png,L,P,2
No. 2589,train1,4252.png,L,P,2
No. 2590,train1,4253.png,L,P,2
No. 2591,train1,4254.png,L,P,2
No. 2592,train1,4255.png,L,P,2
No. 2593,train1,4256.png,L,P,2
No. 2594,train1,4257.png,L,P,2
No. 2595,train1,4258.png,L,P,2
No. 2596,train1,4259.png,L,P,2
No. 2597,train1,4260.png,L,P,2
No. 2598,train1,4262.png,L,P,2
No. 2599,train1,4263.png,L,P,2
No. 2600,train1,4264.png,L,P,2
No. 2601,train1,4265.png,L,P,2
No. 2602,train1,4266.png,L,P,2
No. 2603,train1,4268.png,L,P,2
No. 2604,train1,4269.png,L,P,2
No. 2605,train1,4270.png,L,P,2
No. 2606,train1,4271.png,L,P,2
No. 2607,train1,4272.png,L,P,2
No. 2608,train1,4273.png,L,P,2
No. 2609,train1,4275.png,L,P,2
No. 2610,train1,4276.png,L,P,2
No. 2611,train1,4277.png,L,P,2
No. 2612,train1,4278.png,L,P,2
No. 2613,train1,4279.png,L,P,2
No. 2614,train1,4280.png,L,P,2
No. 2615,train1,4281.png,L,P,2
No. 2616,train1,4282.png,L,P,2
No. 2617,train1,4284.png,L,P,2
No. 2618,train1,4285.png,L,P,2
No. 2619,train1,4286.png,L,P,2
No. 2620,train1,4287.png,L,P,2
No. 2621,train1,4288.png,L,P,2
No. 2622,train1,4289.png,L,P,2
No. 2623,train1,4290.png,L,P,2
No. 2624,train1,4291.png,L,P,2
No. 2625,train1,4293.png,L,P,2
No. 2626,train1,4294.png,L,P,2
No. 2627,train1,4295.png,L,P,2
No. 2628,train1,4296.png,L,P,2
No. 2629,train1,4297.png,L,P,2
No. 2630,train1,4298.png,L,P,2
No. 2631,train1,4299.png,L,P,2
No. 2632,train1,4300.png,L,P,2
No. 2633,train1,4301.png,L,P,2
No. 2634,train1,4302.png,L,P,2
No. 2635,train1,4303.png,L,P,2
No. 2636,train1,4304.png,L,P,2
No. 2637,train1,4305.png,L,P,2
No. 2638,train1,4306.png,L,P,2
No. 2639,train1,4307.png,L,P,2
No. 2640,train1,4308.png,L,P,2
No. 2641,train1,4309.png,L,P,2
No. 2642,train1,4310.png,L,P,2
No. 2643,train1,4311.png,L,P,2
No. 2644,train1,4312.png,L,P,2
No. 2645,train1,4313.png,L,P,2
No. 2646,train1,4314.png,L,P,2
No. 2647,train1,4315.png,L,P,2
No. 2648,train1,4316.png,L,P,2
No. 2649,train1,4318.png,L,P,2
No. 2650,train1,4319.png,L,P,2
No. 2651,train1,4320.png,L,P,2
No. 2652,train1,4321.png,L,P,2
No. 2653,train1,4322.png,L,P,2
No. 2654,train1,4323.png,L,P,2
No. 2655,train1,4324.png,L,P,2
No. 2656,train1,4325.png,L,P,2
No. 2657,train1,4326.png,L,P,2
No. 2658,train1,4327.png,L,P,2
No. 2659,train1,4328.png,L,P,2
No. 2660,train1,4329.png,L,P,2
No. 2661,train1,4330.png,L,P,2
No. 2662,train1,4331.png,L,P,2
No. 2663,train1,4332.png,L,P,2
No. 2664,train1,4333.png,L,P,2
No. 2665,train1,4334.png,L,P,2
No. 2666,train1,4337.png,L,P,2
No. 2667,train1,4339.png,L,P,2
No. 2668,train1,4340.png,L,P,2
No. 2669,train1,4341.png,L,P,2
No. 2670,train1,4342.png,L,P,2
No. 2671,train1,4343.png,L,P,2
No. 2672,train1,4344.png,L,P,2
No. 2673,train1,4345.png,L,P,2
No. 2674,train1,4346.png,L,P,2
No. 2675,train1,4347.png,L,P,2
No. 2676,train1,4350.png,L,P,2
No. 2677,train1,4351.png,L,P,2
No. 2678,train1,4352.png,L,P,2
No. 2679,train1,4353.png,L,P,2
No. 2680,train1,4354.png,L,P,2
No. 2681,train1,4355.png,L,P,2
No. 2682,train1,4356.png,L,P,2
No. 2683,train1,4357.png,L,P,2
No. 2684,train1,4358.png,L,P,2
No. 2685,train1,4359.png,L,P,2
No. 2686,train1,4560.png,L,P,2
No. 2687,train1,4561.png,L,P,2
No. 2688,train1,4562.png,L,P,2
No. 2689,train1,4563.png,L,P,2
No. 2690,train1,4564.png,L,P,2
No. 2691,train1,4566.png,L,P,2
No. 2692,train1,4567.png,L,P,2
No. 2693,train1,4568.png,L,P,2
No. 2694,train1,4569.png,L,P,2
No. 2695,train1,4570.png,L,P,2
No. 2696,train1,4571.png,L,P,2
No. 2697,train1,4573.png,L,P,2
No. 2698,train1,4574.png,L,P,2
No. 2699,train1,4575.png,L,P,2
No. 2700,train1,4576.png,L,P,2
No. 2701,train1,4577.png,L,P,2
No. 2702,train1,4578.png,L,P,2
No. 2703,train1,4579.png,L,P,2
No. 2704,train1,4580.png,L,P,2
No. 2705,train1,4582.png,L,P,2
No. 2706,train1,4583.png,L,P,2
No. 2707,train1,4585.png,L,P,2
No. 2708,train1,4586.png,L,P,2
No. 2709,train1,4587.png,L,P,2
No. 2710,train1,4588.png,L,P,2
No. 2711,train1,4589.png,L,P,2
No. 2712,train1,4590.png,L,P,2
No. 2713,train1,4591.png,L,P,2
No. 2714,train1,4592.png,L,P,2
No. 2715,train1,4593.png,L,P,2
No. 2716,train1,4595.png,L,P,2
No. 2717,train1,4596.png,L,P,2
No. 2718,train1,4597.png,L,P,2
No. 2719,train1,4598.png,L,P,2
No. 2720,train1,4599.png,L,P,2
No. 2721,train1,4600.png,L,P,2
No. 2722,train1,4601.png,L,P,2
No. 2723,train1,4602.png,L,P,2
No. 2724,train1,4603.png,L,P,2
No. 2725,train1,4604.png,L,P,2
No. 2726,train1,4605.png,L,P,2
No. 2727,train1,4606.png,L,P,2
No. 2728,train1,4607.png,L,P,2
No. 2729,train1,4608.png,L,P,2
No. 2730,train1,4609.png,L,P,2
No. 2731,train1,4610.png,L,P,2
No. 2732,train1,4611.png,L,P,2
No. 2733,train1,4612.png,L,P,2
No. 2734,train1,4613.png,L,P,2
No. 2735,train1,4614.png,L,P,2
No. 2736,train1,4615.png,L,P,2
No. 2737,train1,4616.png,L,P,2
No. 2738,train1,4617.png,L,P,2
No. 2739,train1,4618.png,L,P,2
No. 2740,train1,4619.png,L,P,2
No. 2741,train1,4620.png,L,P,2
No. 2742,train1,4621.png,L,P,2
No. 2743,train1,4622.png,L,P,2
No. 2744,train1,4623.png,L,P,2
No. 2745,train1,4624.png,L,P,2
No. 2746,train1,4625.png,L,P,2
No. 2747,train1,4626.png,L,P,2
No. 2748,train1,4627.png,L,P,2
No. 2749,train1,4628.png,L,P,2
No. 2750,train1,4629.png,L,P,2
No. 2751,train1,4630.png,L,P,2
No. 2752,train1,4631.png,L,P,2
No. 2753,train1,4632.png,L,P,2
No. 2754,train1,4633.png,L,P,2
No. 2755,train1,4634.png,L,P,2
No. 2756,train1,4635.png,L,P,2
No. 2757,train1,4636.png,L,P,2
No. 2758,train1,4637.png,L,P,2
No. 2759,train1,4638.png,L,P,2
No. 2760,train1,4639.png,L,P,2
No. 2761,train1,4640.png,L,P,2
No. 2762,train1,4641.png,L,P,2
No. 2763,train1,4642.png,L,P,2
No. 2764,train1,4643.png,L,P,2
No. 2765,train1,4644.png,L,P,2
No. 2766,train1,4645.png,L,P,2
No. 2767,train1,4646.png,L,P,2
No. 2768,train1,4647.png,L,P,2
No. 2769,train1,4648.png,L,P,2
No. 2770,train1,4649.png,L,P,2
No. 2771,train1,4650.png,L,P,2
No. 2772,train1,4651.png,L,P,2
No. 2773,train1,4652.png,L,P,2
No. 2774,train1,4653.png,L,P,2
No. 2775,train1,4654.png,L,P,2
No. 2776,train1,4656.png,L,P,2
No. 2777,train1,4657.png,L,P,2
No. 2778,train1,4659.png,L,P,2
No. 2779,train1,4660.png,L,P,2
No. 2780,train1,4661.png,L,P,2
No. 2781,train1,4662.png,L,P,2
No. 2782,train1,4663.png,L,P,2
No. 2783,train1,4664.png,L,P,2
No. 2784,train1,4665.png,L,P,2
No. 2785,train1,4666.png,L,P,2
No. 2786,train1,4667.png,L,P,2
No. 2787,train1,4668.png,L,P,2
No. 2788,train1,4669.png,L,P,2
No. 2789,train1,4670.png,L,P,2
No. 2790,train1,4671.png,L,P,2
No. 2791,train1,4672.png,L,P,2
No. 2792,train1,4673.png,L,P,2
No. 2793,train1,4674.png,L,P,2
No. 2794,train1,4675.png,L,P,2
No. 2795,train1,4676.png,L,P,2
No. 2796,train1,4677.png,L,P,2
No. 2797,train1,4678.png,L,P,2
No. 2798,train1,4679.png,L,P,2
No. 2799,train1,4680.png,L,P,2
No. 2800,train1,4681.png,L,P,2
No. 2801,train1,4682.png,L,P,2
No. 2802,train1,4683.png,L,P,2
No. 2803,train1,4685.png,L,P,2
No. 2804,train1,4686.png,L,P,2
No. 2805,train1,4687.png,L,P,2
No. 2806,train1,4688.png,L,P,2
No. 2807,train1,4689.png,L,P,2
No. 2808,train1,4690.png,L,P,2
No. 2809,train1,4691.png,L,P,2
No. 2810,train1,4692.png,L,P,2
No. 2811,train1,4693.png,L,P,2
No. 2812,train1,4694.png,L,P,2
No. 2813,train1,4695.png,L,P,2
No. 2814,train1,4696.png,L,P,2
No. 2815,train1,4697.png,L,P,2
No. 2816,train1,4698.png,L,P,2
No. 2817,train1,4699.png,L,P,2
No. 2818,train1,4700.png,L,P,2
No. 2819,train1,4701.png,L,P,2
No. 2820,train1,4702.png,L,P,2
No. 2821,train1,4703.png,L,P,2
No. 2822,train1,4704.png,L,P,2
No. 2823,train1,4705.png,L,P,2
No. 2824,train1,4706.png,L,P,2
No. 2825,train1,4707.png,L,P,2
No. 2826,train1,4709.png,L,P,2
No. 2827,train1,4710.png,L,P,2
No. 2828,train1,4711.png,L,P,2
No. 2829,train1,4712.png,L,P,2
No. 2830,train1,4713.png,L,P,2
No. 2831,train1,4714.png,L,P,2
No. 2832,train1,4715.png,L,P,2
No. 2833,train1,4716.png,L,P,2
No. 2834,train1,4717.png,L,P,2
No. 2835,train1,4718.png,L,P,2
No. 2836,train1,4719.png,L,P,2
