S? th? t?,???ng d?n,Tên ?nh,Nhãn Bàn Tay,Nhãn Ngón Tay Cái,Cluster,id,PC1,PC2
No. 2501,train1,4157.png,L,P,2,4157,-1979.3632690050897,-273.24801486669435
No. 2502,train1,4159.png,L,P,2,4159,-1414.183166093655,-574.6389903040954
No. 2503,train1,4160.png,L,P,2,4160,-495.1403402890443,-671.6979326043928
No. 2504,train1,4161.png,L,P,2,4161,-211.2469453450974,-139.73608945431184
No. 2505,train1,4162.png,L,P,2,4162,-970.8607779930596,-323.5480110955596
No. 2506,train1,4163.png,L,P,2,4163,-1376.4360149796864,-156.80363927384056
No. 2507,train1,4164.png,L,P,2,4164,-1216.7207147651145,-397.4883648896419
No. 2508,train1,4165.png,L,P,2,4165,137.68103389004506,594.3198465421701
No. 2509,train1,4166.png,L,P,2,4166,-1233.2644621407194,132.01237885654976
No. 2510,train1,4167.png,L,P,2,4167,311.1357873956017,-877.0202876519766
No. 2511,train1,4168.png,L,P,2,4168,-836.7885641459515,-683.5533721462739
No. 2512,train1,4170.png,L,P,2,4170,-1450.4269154245865,5.045567407142379
No. 2513,train1,4172.png,L,P,2,4172,185.79630931565686,189.76539027127336
No. 2514,train1,4173.png,L,P,2,4173,-1868.9671345373379,-434.6503691403059
No. 2515,train1,4174.png,L,P,2,4174,-1340.6690812114164,-227.28649758114295
No. 2516,train1,4175.png,L,P,2,4175,755.431155545565,-136.84052010172047
No. 2517,train1,4176.png,L,P,2,4176,-2533.9476789158043,-380.2822679942208
No. 2518,train1,4177.png,L,P,2,4177,-1235.670390367987,-254.58302449512945
No. 2519,train1,4179.png,L,P,2,4179,-1128.1337434082652,-474.0011859344434
No. 2520,train1,4180.png,L,P,2,4180,582.9515335444552,766.4908610391792
No. 2521,train1,4181.png,L,P,2,4181,-1574.5268662976246,-854.6212062757984
No. 2522,train1,4182.png,L,P,2,4182,-1761.3484653938062,-1100.8626017144209
No. 2523,train1,4183.png,L,P,2,4183,-2136.0055457048998,-433.9185952820107
No. 2524,train1,4184.png,L,P,2,4184,1122.3552804841627,388.3340712497153
No. 2525,train1,4185.png,L,P,2,4185,-779.4969672335693,150.66655498345602
No. 2526,train1,4186.png,L,P,2,4186,-823.5563052890958,-265.14584552404307
No. 2527,train1,4187.png,L,P,2,4187,-1055.667723328292,184.5372447770408
No. 2528,train1,4188.png,L,P,2,4188,-1817.8388121270352,-530.5175608360021
No. 2529,train1,4189.png,L,P,2,4189,-640.4563578900592,-1346.945764587269
No. 2530,train1,4190.png,L,P,2,4190,-28.547740641032227,569.7247994980206
No. 2531,train1,4191.png,L,P,2,4191,-1725.3410074405278,-448.81238682418103
No. 2532,train1,4192.png,L,P,2,4192,-956.8787575429707,-464.02648235021667
No. 2533,train1,4193.png,L,P,2,4193,-1349.8231087329614,-832.1050564916958
No. 2534,train1,4194.png,L,P,2,4194,-1328.6684723868823,-507.6386217454584
No. 2535,train1,4195.png,L,P,2,4195,-1764.9408860937428,-360.20346570178265
No. 2536,train1,4196.png,L,P,2,4196,1139.4094470187765,-1120.0790266216611
No. 2537,train1,4197.png,L,P,2,4197,-1283.6827394212735,-484.6767619915333
No. 2538,train1,4198.png,L,P,2,4198,-1645.3576211454001,-311.6735575820489
No. 2539,train1,4199.png,L,P,2,4199,841.6084868882829,-1946.3010996106177
No. 2540,train1,4200.png,L,P,2,4200,-1610.6592123008293,-601.0241785083718
No. 2541,train1,4201.png,L,P,2,4201,-1205.84470499262,186.18426096328665
No. 2542,train1,4202.png,L,P,2,4202,-1762.9580286341818,-103.90364193297496
No. 2543,train1,4203.png,L,P,2,4203,-1583.5336286117004,-597.0783191603645
No. 2544,train1,4204.png,L,P,2,4204,-1781.7782276512944,-563.5819090210798
No. 2545,train1,4205.png,L,P,2,4205,-1740.8961070937485,-553.5641415387076
No. 2546,train1,4206.png,L,P,2,4206,-1658.9782994575644,-938.1649252968562
No. 2547,train1,4207.png,L,P,2,4207,-1816.7604554827476,-43.95974817236914
No. 2548,train1,4208.png,L,P,2,4208,-288.0037092769115,-1454.4973337793756
No. 2549,train1,4209.png,L,P,2,4209,-1735.0936896070857,-513.0903865499045
No. 2550,train1,4210.png,L,P,2,4210,38.43344451347159,-271.7704948866013
No. 2551,train1,4211.png,L,P,2,4211,-540.3567775722788,-77.57508844463491
No. 2552,train1,4212.png,L,P,2,4212,-2032.7670057378512,-717.5801192866392
No. 2553,train1,4213.png,L,P,2,4213,-744.954895131713,758.3228015070289
No. 2554,train1,4214.png,L,P,2,4214,-1675.3219257826904,328.89596099133354
No. 2555,train1,4215.png,L,P,2,4215,-1156.8459682588607,-30.093053044354278
No. 2556,train1,4216.png,L,P,2,4216,-1492.432012355469,-689.7509059415717
No. 2557,train1,4217.png,L,P,2,4217,-1440.779025297677,-584.8786439677219
No. 2558,train1,4218.png,L,P,2,4218,-1190.8212189994629,-170.13265220366486
No. 2559,train1,4219.png,L,P,2,4219,-366.8833267362396,585.2907750718451
No. 2560,train1,4220.png,L,P,2,4220,-1539.9864066183,-387.2551239352863
No. 2561,train1,4221.png,L,P,2,4221,-1604.6403435370617,142.42176888257825
No. 2562,train1,4222.png,L,P,2,4222,-689.447873750179,-1553.7942828255811
No. 2563,train1,4223.png,L,P,2,4223,1466.917307529205,703.7461991753069
No. 2564,train1,4224.png,L,P,2,4224,-1580.8223126669839,-13.122731378163797
No. 2565,train1,4225.png,L,P,2,4225,-1707.374683225861,-177.44800515825457
No. 2566,train1,4227.png,L,P,2,4227,1038.603836123673,1119.5222917980313
No. 2567,train1,4228.png,L,P,2,4228,832.3861166278916,98.60795502698973
No. 2568,train1,4229.png,L,P,2,4229,4281.495378140933,443.6245534546541
No. 2569,train1,4230.png,L,P,2,4230,-1454.6800121719102,-507.74178324235567
No. 2570,train1,4231.png,L,P,2,4231,450.38059942642275,-1442.3527064005102
No. 2571,train1,4232.png,L,P,2,4232,-1657.8313370743208,-206.60298191340976
No. 2572,train1,4233.png,L,P,2,4233,-1715.6277680835105,-16.645078884470173
No. 2573,train1,4234.png,L,P,2,4234,-973.7135508285792,-309.5547061036543
No. 2574,train1,4235.png,L,P,2,4235,-562.9493776317221,-279.4145262008103
No. 2575,train1,4236.png,L,P,2,4236,-1380.9147877429896,-485.21044068397543
No. 2576,train1,4237.png,L,P,2,4237,-1438.405757161667,-375.7943927972078
No. 2577,train1,4238.png,L,P,2,4238,-1929.444268445306,-184.6431574471789
No. 2578,train1,4239.png,L,P,2,4239,-1404.9575312763602,-209.79009456286408
No. 2579,train1,4240.png,L,P,2,4240,-371.54204498633544,-1266.3550849557266
No. 2580,train1,4241.png,L,P,2,4241,-1174.1166245988913,-576.3216491921266
No. 2581,train1,4243.png,L,P,2,4243,-2171.6676314952374,-20.33612837988223
No. 2582,train1,4244.png,L,P,2,4244,-2234.911290487171,-169.99687327216347
No. 2583,train1,4245.png,L,P,2,4245,-1166.9463618425352,-280.625130980141
No. 2584,train1,4246.png,L,P,2,4246,-1060.4131011805507,-614.5406117936
No. 2585,train1,4247.png,L,P,2,4247,-1182.4527027233864,149.88599455311578
